Vila dos Nobres;-2.561863;-44.277579
Vila Embratel;-2.568181;-44.311981
Vila Esperança;-2.614318;-44.259523
Vila Funil;-2.607644;-44.245893
Vila Isabel Cafeteira;-2.544719;-44.226193
Vila Itamar;-2.593497;-44.24778
Vila Janaína;-2.59146;-44.191303
Vila Lobão;-2.563744;-44.241482
Vila Luizão;-2.489208;-44.211817
Vila Magril;-2.611482;-44.204991
Vila Maracujá;-2.663054;-44.262543
Vila Maranhão;-2.624857;-44.314127
Vila Mariana/Sacavém;-2.55667;-44.260976
Vila Marinho;-2.514825;-44.266105
Vila Mauro Fecury I;-2.541128;-44.332387
Vila Mauro Fecury II;-2.551964;-44.33302
Vila Natal;-2.561814;-44.269431
Vila Nova República;-2.643948;-44.277843
Vila Nova-Bacanga;-2.536369;-44.327731
Vila Palmeira;-2.541625;-44.254272
Vila Passos;-2.535273;-44.287228
Vila Primavera/Maracanã;-2.627643;-44.27119
Vila Riod;-2.595961;-44.195568
Vila São Luís-Bacanga;-2.547884;-44.332948
Vila São Sebastião;-2.573346;-44.264312
Vila Sarney;-2.633262;-44.270936
Vila União;-2.511352;-44.232996
Vila Vitória;-2.608866;-44.203942
Vinhais;-2.514847;-44.255419
